ID,NAME,VAL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
792,Turkey,1,273,312,395,1779,2529,4076,3128,3314,2298,1946,1157,121,87,28,106,206,365,224,460,431,126,204,425,742,19,10,1059,1550,449,437
795,Turkmenistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,Uganda,1,1057,809,1018,76,0,160,537,1768,1354,1214,1024,1238,212,1316,1629,2004,922,334,156,32,59,74,0,0,0,7,0,30,0,2
804,Ukraine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423,1314,252,409,234
784,United Arab Emirates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
826,United Kingdom,1,41,47,38,39,47,16,0,2,5,31,0,1,1,3,1,1,53,0,0,0,2,0,1,0,0,0,0,0,0,0
840,United States of America,1,0,0,0,0,0,0,0,0,0,0,0,0,2986,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0
858,Uruguay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,Uzbekistan,1,0,0,0,0,0,0,0,0,0,0,50,297,0,0,0,37,0,0,0,0,16,0,0,0,0,0,0,0,0,0
548,Vanuatu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,Venezuela,1,61,64,30,223,63,164,28,33,33,10,26,25,27,27,25,31,30,22,2,0,0,0,1,0,0,0,0,0,28,0
704,Vietnam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,W. Sahara,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,Yemen,1,0,0,0,0,0,1489,0,0,0,0,0,0,0,0,6,28,0,0,0,21,94,201,1285,2345,582,2120,7118,3400,2722,4845
894,Zambia,1,14,32,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,Zimbabwe,1,18,14,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,253,0,0,1,1,0,0,0,0,0,4
